artist,genre
Saim Bhat,hindi pop
JONY,Unknown
Fly By Midnight,Unknown
xSyborg,Unknown
Billie Eilish,Unknown
A$AP Rocky,rap
Sanam Marvi,sufi
Sanwal Esakhelvi,qawwali
Alif,indian indie
Kaavish and Quratulain Balouch,hindi indie
Meesha Shafi,sufi
Mohsin Abbas Haider,sufi
Farhan Saeed and Quratulain Balouch,sufi
Bawari Basanti,indian indie
Ahmed Jahanzeb,desi
Momina Mustehsan,sufi
Otnicka,Unknown
Arctic Monkeys,indie
Fariha Pervez,sufi
Abrar Ul Haq,bhangra
Zeeshan Ali,Unknown
Jal -The Band,desi
Ozuna,reggaeton
AVAION,deep house
Sasha Alex Sloan,Unknown
Jabbar Abbas,qawwali
Shivam Sengupta,hindi indie
Jeffrey Iqbal,Unknown
Wajid Layaq,Unknown
Rostam Mirlashari,qawwali
Overload,sufi
Allan Faqeer,sufi
Hamayoon Khan,Unknown
Ismail Khan,Unknown
Alizeh Khan,Unknown
Saf. K,Unknown
Ali Baba Khan,ghazal
Abdullah Siddiqui,indian indie
Tom Odell,Unknown
Ajit Kale,hindi indie
Suzonn,hindi indie
Pratsofficial,indian indie
Ankur Tewari,indian indie
Ishpreet Singh,indian indie
Denny,Unknown
Namita Choudhary,indian indie
Ayushmann Khurrana,bollywood
Kanishk Seth,indian indie
Vicky,lo-fi
Mahalakshmi Iyer,bollywood
Edward Maya,Unknown
Junoon,sufi
Rabbi Shergill,sufi
Parwan Khan,Unknown
Shabnam Majeed,qawwali
Shilpa Rao,bollywood
YNW Melly,melodic rap
SARRB,punjabi pop
Jawad,desi
Anurag Saikia,hindi indie
Bombay Jayashri,tamil pop
Yohani,hindi pop
Beau Young Prince,Unknown
rhianne,Unknown
Elton John,Unknown
Lucky Ali,desi pop
Gesaffelstein,Unknown
Anubha Bajaj,indian indie
Mohammad Faiz,hindi pop
Nouman Javaid,Unknown
Khalid Khan Qawal,qawwali
Sachin Sharma,ghazal
Asif Ali Khan Santoo,qawwali
Hardil Pandya,Unknown
Itz hk,Unknown
Raeth,hindi indie
Sangeet Haldipur,tamil dance
Nayab Khan,Unknown
Roxen,Unknown
Ashiwini Bhardwaj,Unknown
Bhoomi Trivedi,gujarati garba
Deepak Adhikari,qawwali
Raju Singh,bollywood
Sagar Kalra,Unknown
Deepak Rathore Project,indian indie
Dhruv Ghanekar,sufi
Pavan,Unknown
Ishaan Kulkarni,Unknown
Salman SV,Unknown
Jatin Arya,lo-fi
Masroor Fateh Ali Khan,sufi
Sameer Paracha,Unknown
Shuja Hyder,sufi
Wajhi Farooki,soundtrack
JERRY,punjabi pop
Rachel Viccaji,sufi
Tarun Panchal,haryanvi pop
Wajid,qawwali
In the Box,desi
Uzair Jaswal,Unknown
Sunno Music,desi hip hop
Qaab,desi hip hop
Hotel Ugly,Unknown
Pasi harshit,Unknown
Santanu Dey Sarkar,bangla pop
Omkar Singh,Unknown
Shaurya Jha,indian indie
Tanzeel Khan,hindi indie
Nafi Nandi,mollywood
Adnan Ahmed Alam,Unknown
Jackey Mishra,Unknown
shy martin,Unknown
Kavita Seth,bollywood
Ali Tariq,indian indie
The Bassicks,Unknown
Kina,Unknown
Rosie Darling,Unknown
JP Saxe,Unknown
Shani Arshad,soundtrack
Tyson Sidhu,punjabi pop
Saaj Bhatt,bollywood
Miracle Mangal,indian indie
Lauv,Unknown
Fareed Ayaz Abu Muhammad Qawwal & Brothers,qawwali
Porsche Love,Unknown
Sahil Chandi,bhangra
Arshman Khan,qawwali
Raashi Sood,indian indie
Zain Zohaib,qawwali
Raja Hasan,gujarati garba
Rapperiya Baalam,bhajan
Mehdi Hassan,ghazal
Munni Begum,ghazal
Satinder Sartaaj,sufi
Gurdas Maan,bhangra
Farukh Fateh Ali Khan,qawwali
Sohail Rana,Unknown
Ved Sharma,hindi pop
Iqlipse Nova,indian indie
Zeph,Unknown
Haris Wajdhaan,Unknown
Vicetone,edm
Cartoon,Unknown
NEFFEX,Unknown
R3HAB,slap house
Axwell /\ Ingrosso,Unknown
Joel Adams,soft pop
Petit Biscuit,Unknown
Lost Frequencies,tropical house
J Balvin,reggaeton
Aya Nakamura,pop urbaine
Anirudh Ravichander,tamil pop
Mokita,Unknown
vaultboy,Unknown
Avvy Sra,punjabi pop
Bhalwaan,punjabi hip hop
Gupz Sehra,bhangra
Prince Narula,punjabi pop
Sunanda Sharma,bhangra
Hatim,indian indie
Naps,pop urbaine
Los Cantos de la Hinchada,Unknown
Gotye,Unknown
